 mean_H1 mean_DBC mean_EC mean_HFF mean_NPC mean_TB
bulk0 0.1237293287583668 0.14735583259478077 0.1542004683073955 0.043161570848253915 0.1875047486674579 0.3440480508237453
bulk1 0.28622800722885805 0.21038995519079573 0.03065982310783349 0.1915515496047209 0.08373648982930285 0.1974341750384889
bulk2 0.32607292094981416 0.20752011506618676 0.04591081851594943 0.08723934015067038 0.20769777964121988 0.1255590256761594
bulk3 0.297059402306233 0.1411311606410625 0.01241142678707 0.241614088299866 0.05002671099096342 0.25775721097480503
bulk4 0.25136780812005105 0.1507181624276583 0.03626965099415447 0.33606418899661866 0.11818981792239411 0.10739037153912344
bulk5 0.2259153831905036 0.049680739966623005 0.16227034808412863 0.3065937574845657 0.21293507504322035 0.04260469623095878
bulk6 0.17226056529495906 0.16310690805445896 0.2565157557250582 0.14665558654087854 0.17848946014505665 0.08297172423958864
bulk7 0.2209258874898698 0.11885294104632135 0.16669683830630647 0.20100945204242365 0.1151099724405079 0.17740490867457087
bulk8 0.16792176548905866 0.2631000233738975 0.2007252760867377 0.19112355224062388 0.10163900420055177 0.07549037860913042
bulk9 0.11711195059118813 0.2574216676552884 0.2115437409966964 0.17291475398918893 0.16593026427804866 0.07507762248958942
bulk10 0.349103201824344 0.12914342804190418 0.11514909804786247 0.010906858325343636 0.31153766148758577 0.08415975227295991
bulk11 0.1270274051642135 0.21255349739959994 0.18654490050743158 0.09260456782838096 0.17032452529038086 0.21094510380999312
bulk12 0.09037310959712981 0.1806644418031832 0.2936656789209678 0.24670979702550302 0.06601846961160099 0.12256850304161525
bulk13 0.3338757299782245 0.04454768834491215 0.22857942092363492 0.18351625438301208 0.11387198973402572 0.09560891663619077
bulk14 0.21338701784748051 0.26824291772541403 0.13066726016794444 0.09534218427435627 0.13298150857176388 0.15937911141304098
bulk15 0.2909530457028439 0.11554741812771666 0.24798942042095748 0.2832025073100845 0.0026620398406808875 0.059645568597716726
bulk16 0.3023624773708104 0.09817814661189382 0.3281672059605415 0.056720388490911336 0.0993605686079011 0.1152112129579418
bulk17 0.33236871933189366 0.16965846056615347 0.3163624458950587 0.06281316492572714 0.04990063212335996 0.06889657715780698
bulk18 0.2471609870521009 0.18909196041995874 0.09229963857390956 0.18931544408148016 0.16207726089215813 0.12005470898039249
bulk19 0.2963127240332797 0.0806246247918339 0.023638428228643805 0.27080184127820767 0.24535171058184527 0.08327067108618966
bulk20 0.13444767839777286 0.036983661345677876 0.17442262406884684 0.3159955072494126 0.2680099430728834 0.07014058586540659
bulk21 0.2722752621992664 0.1845403699382729 0.13457768970397968 0.1992866050197486 0.15179163068827103 0.057528442450461424
bulk22 0.23016311713150828 0.09479242139727892 0.21179058063498923 0.16794149653245902 0.12832881161552534 0.16698357268823924
bulk23 0.2568913988789791 0.1787718727669121 0.26393312563724125 0.06753031768198857 0.01772812270565951 0.2151451623292195
bulk24 0.22924071692250786 0.20458368087621884 0.06865191010550631 0.18134742286785466 0.06799858551229117 0.24817768371562104
bulk25 0.1270948135505131 0.25572953824995903 0.02828005432053064 0.24532232736206536 0.3311770821659966 0.012396184350935308
bulk26 0.18337855618834623 0.05175974576674822 0.03827177721406684 0.03199748846454772 0.5553404713995145 0.1392519609667765
bulk27 0.052978842165762596 0.1443309091442288 0.35454229929950143 0.08747278740837133 0.12945164712811294 0.231223514854023
bulk28 0.2015957541127724 0.19568379608600261 0.24232845242359305 0.10940022896757845 0.22082546173007647 0.030166306679977002
bulk29 0.24380371718780341 0.3025694018503123 0.16404126884608855 0.05451759457096715 0.008439465467531621 0.22662855207729699
bulk30 0.11142800351107664 0.29005552562483333 0.3469152684905776 0.016176895448433586 0.04775009570348373 0.18767421122159514
bulk31 0.09185158396361405 0.19589275093790992 0.11407927661763399 0.20944036148569511 0.03828668214687796 0.350449344848269
bulk32 0.3351752313188767 0.11406813926701842 0.003406722988457315 0.11020345477972708 0.10524858685549507 0.33189786479042543
bulk33 0.2973248820611078 0.1942984885630987 0.20911108411909468 0.0433353043248859 0.0026066836262189585 0.253323557305594
bulk34 0.05203462381039443 0.1943526724202518 0.02954904567635518 0.3585252884112137 0.3468636123371072 0.01867475734467771
bulk35 0.06322663020229037 0.3207249236934577 0.0959527221443485 0.2889012322078147 0.16646490940315156 0.06472958234893711
bulk36 0.1916927122962363 0.32835140485037073 0.1909469417764115 0.23186776561137873 0.04243971447668602 0.014701460988916828
bulk37 0.12338112245206613 0.14448479024478153 0.3121080348783436 0.14222889734962899 0.21155815436745773 0.06623900070772204
bulk38 0.10534166237746631 0.15683455172131064 0.18101277776917135 0.18222995125452598 0.2293088578903537 0.14527219898717203
bulk39 0.2872330085907414 0.12601231411140953 0.13415106329943025 0.16060070812249141 0.28154396314185753 0.010458942734069847
bulk40 0.08855628290768529 0.1497851505642647 0.1867571655243604 0.25571796907355193 0.09982513341077345 0.21935829851936434
bulk41 0.1356220538744797 0.1754436008812333 0.3429278315976074 0.20323648522724555 0.10686750036705528 0.03590252805237863
bulk42 0.027598905874975543 0.27803925733714746 0.05127269130448617 0.23947844126654935 0.13731845928736533 0.2662922449294762
bulk43 0.1518265798228453 0.2211444318810517 0.12523370995138963 0.0488277171916193 0.2130548687835437 0.2399126923695503
bulk44 0.17471850110353926 0.1452547337855299 0.04000826047270658 0.23689402691968006 0.19817973063735136 0.20494474708119276
bulk45 0.022532394787002707 0.03323677473527716 0.19289244564958746 0.2922646821335064 0.310902172383464 0.14817153031116215
bulk46 0.24120922744901732 0.17383345141894588 0.2249158546675057 0.07113043536933376 0.011351861042114674 0.27755917005308284
bulk47 0.24421442304315932 0.33448533425691385 0.20883908122977599 0.05418716196270941 0.008594250908904161 0.14967974859853744
bulk48 0.08810201829775194 0.10038858930955544 0.23007865921964957 0.19487363812992303 0.24913191132834303 0.13742518371477705
bulk49 0.3120945738384589 0.006713869357066361 0.31518750247813226 0.17931371922211786 0.056644624816474906 0.1300457102877498
bulk50 0.06893315550330917 0.047304132097683166 0.25552789716680546 0.20453777939938333 0.19876038133680926 0.2249366544960096
bulk51 0.26056227906056595 0.1465104129929735 0.266534770324608 0.033691012710954045 0.056223113068679116 0.2364784118422196
bulk52 0.22194870824753488 0.029218279616407432 0.18368477953215515 0.15367152465585338 0.18039050753553937 0.23108620041250977
bulk53 0.3643671079547485 0.05203031130119014 0.22720647849211514 0.1354549082237574 0.10120219100079439 0.11973900302739439
bulk54 0.16738167196057885 0.08625211045126002 0.1177994116650912 0.1972187786496874 0.21605294875769857 0.21529507851568386
bulk55 0.16302247682035298 0.3343577767466985 0.0337372005226523 0.34625159232577674 0.11497228763524481 0.007658665949274551
bulk56 0.46670414620061984 0.00924768778441546 0.11702014639553715 0.1567504754738236 0.1977599038178019 0.05251764032780224
bulk57 0.09079219817762295 0.0908544211375966 0.12789598760552623 0.06324399674849528 0.4354631974268621 0.19175019890389677
bulk58 0.3262784255216388 0.34031667327892057 0.09521365898253314 0.000644161639487084 0.041480532631136824 0.19606654794628325
